total_memory,free_memory,available_memory,cache_memory,swap_total_memory,app_total_memory,app_free_memory,app_used_memory,no_of_processor,max_cpu_frequency,cputime,current,voltage,process,time,energy,Device
2859376,71864.2482758621,615.010344827586,558331.186206897,2097148,15984769.6,5391897.37931035,10592872.2206897,8,1804402.75862069,2128.27586206897,-297.78275862069,4151,20,32246,39859.1590659379,a30
2859376,66039.6679245283,602.743396226415,551727.939622642,2097148,16120026.3849057,5424862.36981132,10695164.0150943,8,1804800,5666.3358490566,-273.252830188679,4151,20,28574,32410.7023610868,a30
2859376,59510.9770992366,590.045801526718,545222.503816794,2097148,16152628.9770992,5781105.3740458,10371523.6030534,8,1804800,8996.60687022901,-283.538167938931,4145,20,28236,33184.8024776336,a30
2859376,74693.3384030418,598.730038022814,538800.486692015,2097148,16359744.4562738,5730012.16730038,10629732.2889734,8,1804800,12307.7680608365,-272.840304182509,4145,20,28408,32127.2623122433,a30
2859376,81391.7802197802,605.457875457876,539125.450549451,2097148,16324188.981685,5639500.89377289,10684688.0879121,8,1804800,15669.5164835165,-282.336996336996,4145,20,29329,34323.3430182784,a30
2859376,72574.3692307692,598.492307692308,540798.123076923,2097148,16399654.7384615,5856991.47692308,10542663.2615385,8,1804800,18999.3461538462,-277.057692307692,4145,20,27897,32037.0301433654,a30
2859376,69345.2388059701,587.59328358209,532880.671641791,2097148,16445753.2835821,5989494.47761194,10456258.8059701,8,1804800,22311.6044776119,-333.608208955224,4145,20,29010,40115.2028177239,a30
2859376,66446.5151515152,580.75,528718.848484849,2097148,16511462.6666667,5987132.33333333,10524330.3333333,8,1804800,25647.803030303,-280.962121212121,4145,20,28281,32935.71301375,a30
2859376,114731.633587786,613.137404580153,513517.20610687,2097148,16620630.2900763,5985013.22137405,10635617.0687023,8,1804800,28930.7748091603,-286.362595419847,4145,20,28031,33272.0389861259,a30
2859376,115686.697318008,616.961685823755,516603.019157088,2097148,16645260.8735632,5966621.70114943,10678639.1724138,8,1804800,32198.6819923372,-272.685823754789,4145,20,28029,31680.6949044253,a30
2859376,103499.457875458,615.70695970696,527539.78021978,2097148,16045422.2710623,5718228.51282051,10327193.7582418,8,1804800,35637.7362637363,-273.413919413919,4145,20,29248,33146.7787557509,a30
2859376,125806.342205323,640.555133079848,530718.676806084,2097148,16156730.0988593,6270544.76045627,9886185.33840304,8,1804800,38961.9923954373,-273.77566539924,4145,20,28176,31974.1285496578,a30
2859376,122498.217228464,637.239700374532,530573.243445693,2097148,16286595.7453184,5658566.5917603,10628029.1535581,8,1804800,42263.5842696629,-270.677902621723,4145,20,28585,32071.2239235019,a30
2859376,123805.751824818,638.518248175183,530609.795620438,2097148,16341779.1824818,5778082.04379562,10563697.1386861,8,1804800,45627.9781021898,-273.434306569343,4145,20,29311,33220.6536185949,a30
2859376,126040.820895522,641.208955223881,531118.701492537,2097148,16338567.1641791,6180894.62686567,10157672.5373134,8,1804800,48990.7649253731,-273.970149253731,4145,20,28707,32599.8491543284,a30
2859376,101293.739776952,626.992565055762,541284,2097148,16385445.7695167,5872341.85873606,10513103.9107807,8,1804800,52338.282527881,-284.063197026022,4145,20,28813,33925.6349535502,a30
2859376,94830.2589928058,628.312949640288,549060.17266187,2097148,16434739.5971223,5519784.25899281,10914955.3381295,8,1804800,55736.8021582734,-286.985611510791,4145,20,29761,35402.3570603957,a30
2859376,114123.239543726,652.836501901141,554887.741444867,2097148,16446792.243346,5779923.49809886,10666868.7452471,8,1804800,59091.7642585551,-277.939163498099,4145,20,28143,32422.3635856654,a30
2859376,113435.172932331,660.236842105263,563193.203007519,2097148,16500352.3909774,5723865.98496241,10776486.406015,8,1804800,62389.2706766917,-298.718045112782,4145,20,28596,35407.175348797,a30
2859376,68919.3333333333,638.916666666667,585894.376811594,2097148,16533984.6956522,5479403.85507246,11054580.8405797,8,1804800,65781.4275362319,-318.489130434783,4130,20,29626,38968.8585802174,a30
2859376,85478.5454545455,633.856060606061,564085.03030303,2097148,15579819.3939394,5796956.6969697,9782862.6969697,8,1804800,69329.3636363636,-303.140151515151,4130,20,28736,35976.5761769697,a30
2859376,75744.6441947566,618.026217228465,557674.501872659,2097148,16282082.8464419,5402057.04868914,10880025.7977528,8,1804800,72655.6179775281,-294.168539325843,4130,20,28643,34798.8409189888,a30
2859376,74431.0036101083,608.328519855596,549050.801444043,2097148,16200543.0180505,6179773.57400722,10020769.4440433,8,1804800,76048.4657039711,-271.270758122744,4130,20,29727,33304.5918643321,a30
2859376,73615.663003663,608,549522.32967033,2097148,16341852.2197802,5860229.68498169,10481622.5347985,8,1804800,79459.1208791209,-277.472527472527,4130,20,29276,33549.17,a30
2859376,81369.2366412214,615.610687022901,549544.259541985,2097148,16340266.259542,6210223.75572519,10130042.5038168,8,1804800,82790.6755725191,-273.786259541985,4130,20,28111,31786.1548883969,a30
2859376,65481.3431734317,597.535055350554,546875.719557196,2097148,16355116.4870849,5484835.04059041,10870281.4464945,8,1804800,86113.2140221402,-325.188191881919,4130,20,29186,39197.5928069373,a30
2859376,108979.181818182,612.791666666667,519004.227272727,2097148,16394780.5151515,5973568,10421212.5151515,8,1804800,89460.2234848485,-285.386363636364,4130,20,28346,33409.8904968182,a30
2859376,142428.839694657,643.167938931298,516711.648854962,2097148,16597277.0992366,5449206.01526718,11148071.0839695,8,1804800,92750.4770992366,-284.660305343511,4130,20,28102,33038.0337101527,a30
2859376,135290.088888889,639.351851851852,519987.837037037,2097148,16575927.2592593,5754776.59259259,10821150.6666667,8,1804800,96067.6148148148,-284.488888888889,4130,20,28880,33932.2415288889,a30
